Frequency [Hz],Amplitude,X [mm],Y [mm]
15.4586,-4.1974,-4.0923,-4.6253
15.4972,-4.4343,-3.8369,-4.523
15.5359,-4.3076,-4.469,-4.7337
15.5745,-4.2187,-4.1979,-4.6814
15.6132,-4.3327,-4.1405,-4.4729
15.6518,-4.4079,-3.7216,-4.7651
15.6904,-4.114,-4.1008,-4.8037
15.7291,-4.1907,-4.3367,-4.5348
15.7677,-3.9133,-3.9764,-4.5722
15.8064,-3.9671,-4.0359,-5.0782
15.845,-4.5927,-3.9682,-4.9886
15.8837,-4.5676,-4.1381,-4.4588
15.9223,-4.5945,-3.8384,-4.7672
15.961,-4.045,-3.9152,-4.7751
15.9996,-3.8584,-3.9171,-4.4471
16.0383,-4.1456,-4.3144,-4.3896
16.0769,-4.1475,-4.6856,-4.2259
16.1156,-3.8428,-3.7592,-4.9384
16.1542,-4.1542,-4.6123,-4.8155
16.1928,-3.9491,-4.1767,-4.8035
16.2315,-4.4665,-3.9927,-4.5029
16.2701,-4.3364,-4.0311,-4.7216
16.3088,-4.5674,-3.9226,-4.8874
16.3474,-4.6231,-4.0867,-4.8121
16.3861,-3.896,-3.9153,-4.5558
16.4247,-3.8982,-3.9517,-4.6217
16.4634,-4.3645,-3.709,-4.568
16.502,-4.4382,-4.3784,-4.7696
16.5407,-4.4965,-4.0298,-4.5468
16.5793,-4.3933,-3.7921,-4.6174
16.618,-4.2924,-4.6313,-4.9912
16.6566,-4.0443,-4.1969,-4.5865
16.6953,-4.0748,-4.0254,-4.9685
16.7339,-4.1845,-4.9801,-4.6699
16.7725,-4.0937,-4.1549,-4.5316
16.8112,-3.926,-3.8315,-4.4486
16.8498,-4.8091,-4.0256,-4.5709
16.8885,-4.3826,-4.3005,-4.4046
16.9271,-3.9607,-3.9516,-5.7804
16.9658,-3.9899,-4.1245,-4.7683
17.0044,-4.1867,-3.7747,-4.3404
17.0431,-3.7776,-3.7761,-4.5495
17.0817,-4.8135,-4.0414,-5.096
17.1204,-3.9322,-3.8128,-4.4658
17.159,-4.1026,-3.7268,-5.241
17.1977,-3.9175,-3.8011,-4.581
17.2363,-4.1768,-3.9563,-4.3898
17.2749,-4.321,-4.4686,-4.517
17.3136,-4.0618,-3.991,-4.3148
17.3522,-3.8355,-3.7105,-4.3744
17.3909,-4.4016,-4.5335,-4.9012
17.4295,-4.0539,-3.9199,-4.5055
17.4682,-4.1913,-4.085,-4.5371
17.5068,-4.2997,-3.7393,-4.4938
17.5455,-4.2422,-4.6732,-4.7619
17.5841,-4.3017,-4.3166,-4.5571
17.6228,-5.0628,-3.6876,-4.4329
17.6614,-4.1293,-3.8684,-4.5446
17.7001,-3.952,-3.738,-4.487
17.7387,-4.0655,-4.4807,-4.6886
17.7774,-3.9466,-3.8509,-4.6805
17.816,-4.178,-3.7574,-4.4874
17.8546,-4.0101,-3.9317,-4.5194
17.8933,-4.1078,-4.1619,-5.0203
17.9319,-4.6147,-3.8834,-5.4838
17.9706,-4.4252,-3.8529,-5.0886
18.0092,-4.6519,-3.7715,-4.8689
18.0479,-3.8975,-3.5724,-4.5276
18.0865,-3.865,-3.7987,-4.4784
18.1252,-4.2283,-4.1744,-4.393
18.1638,-4.353,-4.2732,-4.4069
18.2025,-3.9666,-3.8541,-4.3641
18.2411,-4.0779,-4.1989,-4.3333
18.2798,-4.0393,-3.8979,-4.3285
18.3184,-4.8506,-3.7563,-4.6885
18.357,-4.5997,-4.0496,-4.7655
18.3957,-3.9839,-4.1167,-4.6286
18.4343,-4.0101,-3.9091,-4.7401
18.473,-4.1473,-4.3313,-4.9526
18.5116,-3.9651,-3.8595,-5.0014
18.5503,-5.165,-3.8857,-4.6775
18.5889,-4.3473,-3.9822,-4.5229
18.6276,-4.226,-4.0365,-4.8649
18.6662,-4.0419,-4.2085,-4.8389
18.7049,-4.483,-3.796,-4.5638
18.7435,-4.0988,-3.8276,-4.727
18.7822,-3.8186,-3.6435,-5.0883
18.8208,-3.9664,-3.7324,-4.5237
18.8595,-4.1691,-3.7718,-4.6648
18.8981,-4.1949,-3.8723,-4.6131
18.9367,-4.4602,-4.1337,-4.5535
18.9754,-4.0484,-3.7146,-4.657
19.014,-4.3168,-3.5958,-4.8796
19.0527,-4.0618,-4.0042,-4.4644
19.0913,-4.0252,-3.7284,-4.4985
19.13,-4.1025,-3.6754,-4.4066
19.1686,-4.0274,-3.8462,-5.0624
19.2073,-4.2759,-3.7712,-4.4364
19.2459,-4.3189,-4.5193,-4.4876
19.2846,-4.1781,-4.274,-4.9496
19.3232,-3.8046,-3.6004,-4.5664
19.3619,-3.843,-3.5559,-4.4252
19.4005,-3.79,-3.6468,-4.4827
19.4391,-4.4603,-4.0398,-4.4622
19.4778,-3.9507,-3.8547,-4.7519
19.5164,-4.4827,-3.8854,-4.8307
19.5551,-4.1358,-4.0765,-4.6143
19.5937,-4.269,-3.818,-4.4196
19.6324,-4.3881,-3.6632,-4.3568
19.671,-4.1578,-3.8536,-4.4667
19.7097,-3.8869,-3.6895,-4.3723
19.7483,-4.0871,-4.0307,-4.8874
19.787,-4.2081,-4.3368,-4.6011
19.8256,-4.3166,-4.622,-4.8393
19.8643,-4.3436,-4.7145,-4.2484
19.9029,-4.0769,-3.684,-4.1624
19.9415,-4.3767,-4.068,-3.9348
19.9802,-3.5094,-3.1207,-3.4314
20.0188,-4.0865,-4.1514,-3.6901
20.0575,-3.8219,-3.5392,-3.9352
20.0961,-3.7428,-3.461,-4.174
20.1348,-4.1642,-3.7841,-4.329
20.1734,-3.9636,-4.0812,-4.3526
20.2121,-4.1833,-4.2519,-4.8158
20.2507,-3.7458,-3.5177,-4.9076
20.2894,-3.9762,-3.9495,-4.8939
20.328,-4.0936,-3.7778,-4.6093
20.3667,-3.9269,-3.6998,-4.5999
20.4053,-4.0258,-3.974,-4.5761
20.444,-4.3231,-3.7093,-4.9598
20.4826,-4.5725,-3.7616,-4.4831
20.5212,-3.9462,-3.9172,-4.4387
20.5599,-4.1121,-4.1764,-4.4863
20.5985,-3.9294,-3.7183,-4.561
20.6372,-4.0653,-3.7949,-4.7188
20.6758,-4.0077,-3.7283,-4.7019
20.7145,-3.8012,-3.5385,-4.7765
20.7531,-4.5325,-3.6437,-4.5406
20.7918,-4.0192,-3.9055,-5.0753
20.8304,-4.1013,-3.9183,-4.6855
20.8691,-4.1375,-4.1383,-4.515
20.9077,-4.1105,-3.9171,-5.2516
20.9464,-3.7277,-3.4959,-4.3358
20.985,-3.9128,-3.5848,-4.7883
21.0236,-4.0234,-4.0309,-4.6413
21.0623,-4.3034,-4.0887,-4.8225
21.1009,-4.7586,-3.8708,-4.9092
21.1396,-3.6593,-3.4307,-4.7248
21.1782,-4.6675,-4.1045,-4.8483
21.2169,-3.9891,-3.7354,-4.473
21.2555,-4.178,-3.9019,-4.6432
21.2942,-4.5475,-4.0508,-4.5079
21.3328,-3.7704,-3.5271,-4.7773
21.3715,-3.955,-3.6719,-4.3122
21.4101,-4.4415,-3.7561,-4.6613
21.4488,-4.4543,-3.9615,-4.4051
21.4874,-3.8377,-3.4656,-4.7666
21.5261,-3.9,-3.7354,-4.3472
21.5647,-3.9722,-3.8415,-4.5428
21.6033,-4.1365,-3.8483,-4.5509
21.642,-4.106,-3.5643,-4.9565
21.6806,-4.617,-3.9145,-5.0685
21.7193,-4.152,-4.1968,-4.3067
21.7579,-3.7512,-3.3631,-4.5132
21.7966,-3.9534,-3.3887,-5.3601
21.8352,-4.3746,-4.1003,-4.5471
21.8739,-3.8811,-3.6783,-4.475
21.9125,-4.0312,-4.1149,-4.8607
21.9512,-4.4579,-3.7269,-4.9483
21.9898,-3.79,-3.4679,-4.5194
22.0285,-3.9462,-3.6806,-4.7915
22.0671,-3.7744,-3.4113,-4.4487
22.1057,-3.8563,-3.7384,-4.3522
22.1444,-4.244,-3.6716,-4.499
22.183,-4.5703,-3.7018,-4.4707
22.2217,-4.5166,-3.7062,-4.6285
22.2603,-4.3384,-4.0061,-4.3559
22.299,-4.0526,-3.5933,-4.6848
22.3376,-4.2021,-3.6628,-4.2294
22.3763,-4.0671,-3.5612,-4.4947
22.4149,-4.3517,-4.1177,-4.7342
22.4536,-4.0434,-3.4708,-4.5552
22.4922,-4.3182,-3.6501,-4.5761
22.5309,-3.7294,-3.4369,-4.6565
22.5695,-4.6084,-3.9658,-4.5399
22.6082,-4.7838,-4.1732,-4.5601
22.6468,-3.9116,-3.7256,-4.4983
22.6854,-4.1711,-4.1032,-4.4465
22.7241,-3.9658,-3.7641,-4.4219
22.7627,-3.797,-3.5575,-5.1299
22.8014,-4.0106,-3.8232,-4.3947
22.84,-3.8868,-3.5961,-4.4017
22.8787,-4.3801,-4.2868,-4.3703
22.9173,-4.112,-4.1613,-4.2977
22.956,-3.875,-3.6324,-4.7526
22.9946,-4.0561,-3.5763,-4.2986
23.0333,-3.9111,-3.4818,-5.3795
23.0719,-3.7884,-3.5801,-4.6402
23.1106,-3.8805,-3.7151,-4.7201
23.1492,-4.3034,-4.0892,-4.967
23.1878,-4.1297,-4.2169,-4.4025
23.2265,-3.8781,-3.5866,-4.1777
23.2651,-4.6362,-3.8294,-4.5644
23.3038,-4.1984,-3.5411,-4.4153
23.3424,-4.2738,-3.8093,-4.505
23.3811,-4.1764,-4.1884,-4.5814
23.4197,-4.2915,-3.8396,-4.6201
23.4584,-4.3198,-4.6324,-4.6237
23.497,-3.7666,-3.5825,-4.891
23.5357,-4.0532,-3.8827,-4.692
23.5743,-4.1055,-4.2161,-4.4292
23.613,-4.5133,-4.7463,-4.5478
